Galaxy Type N_GC N_GC_err Mdyn MBH sig_e err_sig_e A_V MV_T err_MV_T MK Re upMBH lowMBH
NGC4406        E               2800            200          11.814         NA             234.8           3.1           0.098          -22.36         0.20           -25.071        12.69          NA             NA            
VCC-896        E                  5              5          NA             NA             NA             NA             0.079          -13.97         0.20           nd             0.66           NA             NA            
VCC-940        E                 61             10           9.233         NA              32.4           1.7           0.084          -16.96         0.20           -19.485        1.75           NA             NA            
NGC4417        S0                72             10          10.318         NA             135.2           2.7           0.081          -20.00         0.20           -22.860        1.22           NA             NA            
NGC4417        S0                72             10          10.318         NA             135.2           2.7           0.081          -20.00         0.20           -22.860        1.22           NA             NA            
VCC-949        E                 23              7          NA             NA             NA             NA             0.084          -16.57         0.20           nd             2.98           NA             NA            
VCC-965        E                 15              5           9.535         NA              42.0           8.0           0.082          -16.37         0.20           -18.397        2.09           NA             NA            
VCC-992        E                  4              5          NA             NA             NA             NA             0.062          -15.87         0.20           nd             0.79           NA             NA            
NGC4431        S0                11              5           9.564         NA              48.4           5.2           0.094          -18.20         0.20           -20.695        1.68           NA             NA            
NGC4434        E                141             34          10.281         NA             120.2           2.9           0.074          -19.68         0.20           -22.556        1.42           NA             NA            
NGC4435        S0               345             80          10.828          0.00          156.7           5.8           0.100          -20.40         0.20           -23.821        2.94           6.88           0.00          
VCC-1049       S0                 8              4          NA             NA              28.0          15.0           0.062          -16.69         0.20           -19.492        nd             NA             NA            
NGC4442        S0               178             30          10.752         NA             186.7           8.6           0.073          -20.56         0.20           -23.639        1.74           NA             NA            
VCC-1073       E                 20              7           9.574         NA              44.5           2.1           0.076          -17.54         0.20           -20.270        2.04           NA             NA            
VCC-1077       E                  2              5          NA             NA             NA             NA             0.064          -12.55         0.20           nd             nd             NA             NA            
NGC4449        Irr               12              5          NA             NA             NA             NA             0.064          -18.56         0.24           -20.836        1.54           NA             NA            
IC3383         E                 16              5           9.226         NA              33.0           9.0           0.074          -16.78         0.20           -18.232        1.66           NA             NA            
IC3381         E                 66             10           9.608         NA              39.1           1.5           0.072          -17.79         0.20           -20.069        2.85           NA             NA            
